comp,normed_rescaled_cond,radius_um,angle_rad,intensity_mWPERmm2
13379_0.017699818511936884,0.1939600589550916,0.0,0.0,2.187578125
13388_0.7104931076481462,0.2158941643528428,0.0,0.0,2.187578125
13404_0.9999993523505065,0.0015193453108075,0.0,0.0,2.187578125
13514_0.9999999959734214,0.091366881865874,0.0,0.0,2.187578125
13515_0.9999999991781015,0.2161804254278433,0.0,0.0,2.187578125
13516_0.9999999991780619,0.2120604354787874,0.0,0.0,2.187578125
13517_0.9999999991780643,0.2078794978166461,0.0,0.0,2.187578125
13518_0.9999999991780814,0.205436137285098,0.0,0.0,2.187578125
13519_0.9999999991780669,0.2026442725717524,0.0,0.0,2.187578125
13520_0.9999999991780765,0.2002564093174749,0.0,0.0,2.187578125
13521_0.9999999991780669,0.1953182084326596,0.0,0.0,2.187578125
13522_0.9999999991780815,0.1913178307772149,0.0,0.0,2.187578125
13523_0.9999999991780897,0.1894878970426569,0.0,0.0,2.187578125
13524_0.9999999991780331,0.1873917503556346,0.0,0.0,2.187578125
13525_0.9999999991780969,0.183519205632295,0.0,0.0,2.187578125
13526_0.999999999178077,0.1792671807844758,0.0,0.0,2.187578125
13527_0.9999999991780628,0.172996930076491,0.0,0.0,2.187578125
13528_0.9999999991780996,0.1656421471553618,0.0,0.0,2.187578125
13529_0.999999999178023,0.1557628532499666,0.0,0.0,2.187578125
13530_0.999999999178096,0.142951231407526,0.0,0.0,2.187578125
13531_0.9999999991780674,0.1305685978019966,0.0,0.0,2.187578125
13532_0.999999999178089,0.1195177842792029,0.0,0.0,2.187578125
13533_0.9999999991780957,0.1087856194507622,0.0,0.0,2.187578125
13548_0.9999999964378068,0.110668335071797,0.0,0.0,2.187578125
13558_0.9999999991080625,0.202892609552489,0.0,0.0,2.187578125
13559_0.9999999991080976,0.1992975825757659,0.0,0.0,2.187578125
13560_0.9999999991080977,0.1949313702997204,0.0,0.0,2.187578125
13561_0.9999999991080525,0.1914145523142187,0.0,0.0,2.187578125
13562_0.9999999991081047,0.187722881268141,0.0,0.0,2.187578125
13563_0.999999999108063,0.1843699488508516,0.0,0.0,2.187578125
13564_0.9999999991080858,0.1795436570728278,0.0,0.0,2.187578125
13565_0.9999999991080865,0.1728953375706671,0.0,0.0,2.187578125
13566_0.9999999991081001,0.1642759643586082,0.0,0.0,2.187578125
13567_0.999999999108051,0.155259054511489,0.0,0.0,2.187578125
13568_0.9999999991081447,0.1453339287161604,0.0,0.0,2.187578125
13569_0.9999999991080123,0.1359431501089006,0.0,0.0,2.187578125
13570_0.9999999991080859,0.1284964472303848,0.0,0.0,2.187578125
13593_0.99999999902275,0.1373548473427986,0.0,0.0,2.187578125
13605_0.9999999970404118,0.035848265624004,0.0,0.0,2.187578125
13617_0.9999999974002899,0.030072088307712,0.0,0.0,2.187578125
13622_0.9999999974034719,0.0267520811871879,0.0,0.0,2.187578125
13630_0.9999999976559109,0.0232393942208797,0.0,0.0,2.187578125
13711_0.9999999975972412,0.1054554707749338,0.0,0.0,2.187578125
13757_0.9999999960382682,0.1206359393081931,0.0,0.0,2.187578125
13769_0.9999999970361837,0.0828772369718385,0.0,0.0,2.187578125
